iter,phase,version,fw_hash,tx_hash,verify_mean_ms,verify_p50_ms,verify_p95_ms,throughput_rps,pi_cpu_pct,pi_mem_used_mb,pi_mem_total_mb,esp32_free_heap_bytes,wallclock_s
1,register,3.1.0,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,1ee9e2993713d9aec72a288df16aaae8c4223011194e4ee37ae97ba8b2c5253b,1535.69,1499,1516,11.83,0.00,1216,4049,110256,288
1,recovery,3.1.0,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,d0958cedc07df220b09dfee7e7650e3eb1dd23157bdc6fb51e5b78bdf7d85e04,,,,,,,,,
1,revoke,3.1.0,,332082c09ba28c2652fc82f1ab6bd5446023f7d65103b7833da0ff4071fb0ed9,,,,,,,,,
2,register,3.1.1,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,57dc5e9d4cbdf9f3f70c18673195b07a88df3c2a7cbfabfa7b64714c0ace0c05,1526.55,1525,1536,12.78,0.00,1207,4049,110256,271
2,recovery,3.1.1,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,cd3354d2f80462eb1d91b80407e5ad1fc1cde0a4d85e012e2f6f01973557c012,,,,,,,,,
2,revoke,3.1.1,,a699cfcc2a5480575a485c8c8e7b4a6a2e4c7a8dbfeef1c600d9d2c1967c5aa4,,,,,,,,,
3,register,3.1.2,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,11f4c9667917811435531455c4dcef9ee5572d68e10d77c6aba6417c02af2103,1598.71,1590,1607,12.71,0.00,1212,4049,110256,293
3,recovery,3.1.2,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,16692c61053c9bd0703366b86daf2f69982e6de44f2cca378ab7f11881df6fae,,,,,,,,,
3,revoke,3.1.2,,d5e51384e7259d60c3dc1f880463c05b941fd5023f72881aa29bbd07da941018,,,,,,,,,
4,register,3.1.3,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,db3625c287e113d350fa8b82cdccdf40b0294702a06ce2ee87fb72d2143b110d,1600.26,1580,1594,12.73,0.50,1209,4049,110256,284
4,recovery,3.1.3,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,d74996097298decdd427f6997ac50e25fe40d22db6cb1765456e5912784c3e42,,,,,,,,,
4,revoke,3.1.3,,9d7c5a653092e033f7fc60f110f8ef44a68b5bbf4d4036f1eb78014e1b7ebf74,,,,,,,,,
5,register,3.1.4,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,3b892763fa78ae529e5a89d058aa3cf8bc8b952ae4648c00a4b4837f280da3f4,1547.74,1547,1561,7.54,0.00,1196,4049,110256,283
5,recovery,3.1.4,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,47af8bd2c8743b462dd2fac23bb37e61904d87825fc8805f744b6e4ed1cf4e00,,,,,,,,,
5,revoke,3.1.4,,51ae0ae79c88f75fd5f29b0b9b8923b82252a5e067ec62d8b1b5e6e0df2e5e62,,,,,,,,,
6,register,3.1.5,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,17d9a7fcdfcba3d6b0e6b79b0655ecd9935e79057ab518868131332e4f824936,1644.93,1608,1876,12.51,0.00,1217,4049,110256,292
6,recovery,3.1.5,41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752,4c572a684d85162f4abfcaa3a1ab2a0e17bf6d4ac81cc08a5c81192bd5650679,,,,,,,,,
6,revoke,3.1.5,,5bb969580e75b72d1f934d9e4ddd04ed61e49fab439d7d0e57b5ba36ec9b1f8f,,,,,,,,,
